,요일,캠퍼스 ,건물,식당,시간대,가격,메뉴,칼로리,만족도
0,월요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 부대찌개, 스크램블에그, 숙주무침, 건파래볶음 ",680,13
1,월요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 감자다시마국, 고등어무조림, 미트볼라따뚜이, 숙주무침, 찐순대,알타리김치 ",780,14
2,월요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 고추장수제비탕, 계란찜, 쫑상추겉절이, 김치",950,15
3,월요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품2) 갓김치부대찌개, 계란찜, 쫑상추겉절이, 김치",843,16
4,월요일,서울캠퍼스,308관,생활관식당,중식,4000,(일품3) 소이머쉬룸파스타,894,17
5,월요일,서울캠퍼스,308관 ,생활관식당,중식,2000,(일품4) 오징어입튀김,360,18
6,월요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 소고기우엉볶음, 밥, 만두강정, 콩나물무침, 장국, 단무지",870,19
7,월요일 ,안성캠퍼스,707관,카우잇츠,중식,4500,"(특식) 감자다시마국, 고등어무조림, 미트볼라따뚜이, 숙주무침, 찐순대,알타리김치",780,20
8,월요일,안성캠퍼스,707관,카우잇츠,중식,3200,"(일품1) 부대찌개, 스크램블에그, 숙주무침, 건파래볶음",680,21
9,월요일 ,안성캠퍼스,707관,카우잇츠,석식,3200,"(일품1)닭곰탕, 야채비빔만두, 부추무침,깍두기",780,22
10,화요일,서울캠퍼스,310관,참슬기식당,중식,3200,"(일품1) 대만식돼지고기덮밥, 고로케케찹, 망고푸딩젤리, 단무지, 미소국",810,23
11,화요일,서울캠퍼스,310관,참슬기식당,중식,4500,"(특식) 홍합탕, 깐풍기, 메추리알조림, 해파리냉채, 마카로니샐러드, 깍두기",760,24
12,화요일,서울캠퍼스,308관,생활관식당,중식,3200,"(일품1) 닭곰탕, 핫도그, 채소유자겉절이, 김치",825,25
13,화요일,서울캠퍼스,308관,생활관식당,중식,3800,"(일품2) 장조림김치버터밥, 핫도그, 채소유자겉절이, 김치",943,26
14,화요일,서울캠퍼스,308관,생활관식당,중식,4000,"(일품3) 채소백짬뽕, 가지탕수",854,27
15,화요일,서울캠퍼스,308관,생활관식당,중식,2000,(일품4) 찹쌀꿔바로우,350,28
16,화요일,서울캠퍼스,308관,생활관식당,석식,3200,"(한식) 수제비칼국수, 고기포자찐만두, 단무지, 밥, 허니버터아몬드",800,29
17,화요일,안성캠퍼스,707관,카우잇츠,중식,3200,"(일품1) 대만식돼지고기덮밥, 고로케케찹, 망고푸딩젤리, 단무지, 미소국",810,30
